loss,accuracy,val_loss,val_accuracy
0.7379769086837769,0.7389575839042664,0.6988188028335571,0.7350000143051147
0.6251332759857178,0.7539752721786499,0.6235709190368652,0.7524999976158142
0.5550645589828491,0.7787102460861206,0.6346096992492676,0.762499988079071
0.4951196610927582,0.8118374347686768,0.5474100708961487,0.7900000214576721
0.4303112030029297,0.8405476808547974,0.499577134847641,0.8125
0.33614081144332886,0.8962014317512512,0.4823787212371826,0.8224999904632568
0.2806897759437561,0.9116607904434204,0.4451431334018707,0.8424999713897705
0.22905300557613373,0.9377208352088928,0.451299786567688,0.8399999737739563
0.1743764728307724,0.958922266960144,0.46363839507102966,0.8399999737739563
0.1399279683828354,0.9708480834960938,0.44879600405693054,0.8324999809265137
0.11553321778774261,0.9801236987113953,0.45468565821647644,0.8374999761581421
